Item,Qty,Reference(s),Value,Mouser
1,23,"C1, C7, C8, C9, C10, C11, C13, C14, C15, C16, C17, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31",1u,187-CL10A475KP8NNNC
2,8,"C2, C3, C4, C5, C6, C12, C18, C19",4.7u,810-CGA3E1X7R1C105AC
3,1,F1,1A,530-0ZCJ0050FF2G
4,1,J1,PROG,
5,1,J2,DE15,156-3315-E
6,1,J3,NTSC,161-0360-E
7,1,J4,DE9,152-3409
8,1,J6,RFMOD,
9,13,"R1, R2, R3, R4, R5, R8, R9, R14, R15, R20, R23, R24, R27",10K,603-RC0603FR-0710KL
10,5,"R6, R7, R10, R25, R26",10,603-RC0603FR-0710RL
11,1,R11,DNI,DNI
12,3,"R12, R21, R22",100,603-RC0603FR-07100RL
13,1,R13,1K,603-RC0603FR-071KL
14,5,"R16, R17, R18, R19, R31",75,603-RC0603FR-0775RL
15,3,"R28, R29, R30",237,603-RC0603FR-07237RL
16,6,"RN1, RN2, RN3, RN4, RN5, RN6",604,652-CAY16-6040F4LF
17,4,"RN7, RN8, RN9, RN10",300,652-CAY16-3000F4LF
18,1,SW1,SW_DIP_x04,706-76PSB04ST
19,1,U1,ICE40HX4K-TQ144,842-ICE40HX4K-TQ144
20,1,U2,SST26VF080A-104I/SN,579-26VF080A-104I/SN
21,3,"U3, U4, U5",74ALVC164245,771-74ALVC164245
22,1,U6,ADA4891-3,584-ADA4891-3ARZ
23,1,U7,IS61C5128AL-10KLI,870-61WV5128B10KLI
24,1,U8,AP2114HA-3.3,621-AP2114HA-3.3TRG1
25,1,U9,AP2114HA-1.2,621-AP2114HA-1.2TRG1
26,1,U10,APX803S00-29SA-7,621-APX803S00-29SA-7
27,1,U11,74HCT125,771-74HCT125PW-T
28,1,X1,10MHz,520-ECS-2333-100-BNT
29,1,X2,14.318MHz,815-ASE-14.318MLCT
